Rank;Vehicle;Driver;Time;PS / KG
240;Honda NSX-R;Motoharu Kurosawa;8:03.86;280 / 1323
241;VW Golf R (Mk VII facelift);unknown;8:04.00;310 / 1468
242;Porsche Boxster S (981);Horst von Saurma;8:04.00;315 / 1393
243;Lamborghini Diablo GT;unknown;8:04.00;575 / 1520
244;Mercedes-Benz A 45 AMG;Christian Gebhardt;8:04.00;380 / 1569
245;Alfa Romeo 4C;unknown;8:04.00;240 / 1030
246;Mini John Cooper Works GP;Christian Gebhardt;8:04.00;310 / 1292
247;Ferrari 575 Maranello;unknown;8:05.00;515 / 1760
248;BMW M3 (E92);unknown;8:05.00;420 / 1628
249;Audi RS6;unknown;8:05.00;560 / 1975
250;Hyundai i30 N Performance;Christian Gebhardt;8:05.19;280 / 1489
251;Mercedes-Benz SL 55 AMG;unknown;8:06.00;517 / 1985
252;Ford Focus RS;Christian Gebhardt;8:06.00;350 / 1549
253;Porsche Cayman S;unknown;8:06.00;320 / 1420
254;Subaru Impreza WRX STI Spec C;Motoharu Kurosawa;8:06.01;280 / 1390
255;Caterham Superlight R;unknown;8:06.20;193 / 470
256;Ferrari 550 Maranello;unknown;8:07.00;486 / 1730
257;BMW Z8;unknown;8:07.00;400 / 1602
258;BMW M6;unknown;8:07.76;507 / 1770
259;Renault Megane RS 265 Trophy;Laurent Hurgon;8:07.97;265 / 1407
260;Porsche 911 Turbo 3.3;unknown;8:08.71;320 / 1474
261;Audi RS6 Avant (C6);unknown;8:09.00;579 / 2073
262;Lamborghini Diablo SV;unknown;8:09.00;519 / 1590
263;Audi RS4 (B7);unknown;8:09.00;420 / 1720
264;Audi TT RS Coupe (Mk II);unknown;8:09.00;340 / 1477
265;Ferrari 360 Modena;unknown;8:09.00;400 / 1451
266;Audi R8 e-tron;Markus Winkelhock;8:09.10;312 / -
267;Porsche 911 GT2 (993);unknown;8:09.30;430 / 1303
268;Yamaha FZR 1000 (EXUP);unknown;8:09.85;145 / 223
269;Dodge Viper GTS;unknown;8:10.00;457 / 1556
270;Mercedes-Benz E63 AMG;unknown;8:10.00;525 / 1848
271;Donkervoort D8 180R;unknown;8:10.00;240 / 675
272;Alpina B6 S;unknown;8:10.00;530 / 1819
273;Porsche Cayman R (987);unknown;8:10.00;330 / 1363
274;RUF CTR Yellow Bird;unknown;8:10.00;469 / 1198
275;KTM X-Bow;unknown;8:10.00;241 / 865
276;Mercedes-Benz A 45 AMG;unknown;8:10.00;360 / 1507
277;Subaru Impreza WRX Type RA STI;unknown;8:10.75;280 / 1200
278;Mitsubishi Lancer EVO IX;Takayuki Kinoshita;8:11.16;290 / 1481
279;Mercedes-Benz SL 55 AMG;unknown;8:12.00;476 / 1905
280;Porsche 911 Turbo 3.6;unknown;8:12.00;430 / 1506
281;Porsche 911 Turbo 3.6 (993);unknown;8:12.00;408 / 1518
282;Renault Megane RS;Christian Gebhardt;8:12.00;280 / 1477
283;Cadillac CTS-V Sport Wagon;John Heinricy;8:12.10;564 / 1987
284;BMW M5 (E60);unknown;8:12.90;507 / 1878
